id,akteursbezeichnung,follower,marktwert,alter,nationalitaet,type
KT01_Collection,KT01 Collection,n.a.,n.a.,n.a.,n.a.,2
Kumpelkiste,Kumpelkiste,n.a.,n.a.,n.a.,n.a.,3
Laureus_Sport_for_Good,Laureus Sport for Good,n.a.,n.a.,n.a.,n.a.,3
Lavia_Trauergruppe,Lavia Trauergruppe,n.a.,n.a.,n.a.,n.a.,3
Lays,Lays,n.a.,n.a.,n.a.,n.a.,2
Living_a_Dream,Living a Dream,n.a.,n.a.,n.a.,n.a.,3
Manuel_Neuer_Kids_Foundation,Manuel Neuer Kids Foundation,n.a.,n.a.,n.a.,n.a.,3
Matthias_Ginter_Stiftung,Matthias Ginter Stiftung,n.a.,n.a.,n.a.,n.a.,3
McDavid_Football,McDavid Football,n.a.,n.a.,n.a.,n.a.,2
McDonalds,McDonalds,n.a.,n.a.,n.a.,n.a.,2
Mein_Klub_Meine_Hilfe,Mein Klub Meine Hilfe,n.a.,n.a.,n.a.,n.a.,3
Mercedes_AMG,Mercedes AMG,n.a.,n.a.,n.a.,n.a.,2
MobileWorld24,MobileWorld24,n.a.,n.a.,n.a.,n.a.,2
My_Topps,My Topps,n.a.,n.a.,n.a.,n.a.,2
Nike,Nike,n.a.,n.a.,n.a.,n.a.,2
Nujeens_Dream,Nujeen's Dream,n.a.,n.a.,n.a.,n.a.,3
Opel,Opel,n.a.,n.a.,n.a.,n.a.,2
Pepsi,Pepsi,n.a.,n.a.,n.a.,n.a.,2
PlayStation,PlayStation,n.a.,n.a.,n.a.,n.a.,2
Porsche_Jugendfoerderung,Porsche Jugendf̦rderung,n.a.,n.a.,n.a.,n.a.,3
Puma,Puma,n.a.,n.a.,n.a.,n.a.,2
Rewe,Rewe,n.a.,n.a.,n.a.,n.a.,2
Rtl_Wir_Helfen_Kindern,RTL Wir Helfen Kindern,n.a.,n.a.,n.a.,n.a.,3
Sami_Khedira_Stiftung,Sami Khedira Stiftung,n.a.,n.a.,n.a.,n.a.,3
Show_Racism_the_Red_Card,Show Racism the Red Card,n.a.,n.a.,n.a.,n.a.,3
Sky_Charity,Sky Charity,n.a.,n.a.,n.a.,n.a.,3
Sony_Alpha,Sony Alpha,n.a.,n.a.,n.a.,n.a.,2
SportsTotal,SportsTotal,n.a.,n.a.,n.a.,n.a.,2
Tag_Heuer,Tag Heuer,n.a.,n.a.,n.a.,n.a.,2
Telekom,Telekom,n.a.,n.a.,n.a.,n.a.,2
The_Oezil_Charitable_Foundation,The Oezil Charitable Foundation,n.a.,n.a.,n.a.,n.a.,3
Tiwi_Ndogo_e.V.,Tiwi Ndogo e.V.,n.a.,n.a.,n.a.,n.a.,3
Toni_Kroos_Stiftung,Toni Kroos Stiftung,n.a.,n.a.,n.a.,n.a.,3
Trostpflaster_Aktion,Trostpflaster Aktion,n.a.,n.a.,n.a.,n.a.,3
Unicef,Unicef,n.a.,n.a.,n.a.,n.a.,3
United_Charity,United Charity,n.a.,n.a.,n.a.,n.a.,3
Verlagsgruppe_Oetinger,Verlagsgruppe Oetinger,n.a.,n.a.,n.a.,n.a.,2
Vodafone,Vodafone,n.a.,n.a.,n.a.,n.a.,2
Weber,Weber,n.a.,n.a.,n.a.,n.a.,2
Young_Wings,Young Wings,n.a.,n.a.,n.a.,n.a.,3
Act,Act,n.a.,n.a.,n.a.,n.a.,4
Briem_Soccer_Connection,Briem Soccer Connection,n.a.,n.a.,n.a.,n.a.,4
CN_Sports,CN Sports,n.a.,n.a.,n.a.,n.a.,4
Coaches_and_More_GmbH,Coaches and More GmbH,n.a.,n.a.,n.a.,n.a.,4
fair_sport GmbH,fair sport GmbH,n.a.,n.a.,n.a.,n.a.,4
Familienangehoeriger_Brandt,Familienangehoeriger Brandt,n.a.,n.a.,n.a.,n.a.,4
Familienangehoeriger_Rudy,Familienangehoeriger Rudy,n.a.,n.a.,n.a.,n.a.,4
Family_and_Football,Family and Football,n.a.,n.a.,n.a.,n.a.,4
FSB_Spielerberatung_GmbH,FSB Spielerberatung GmbH,n.a.,n.a.,n.a.,n.a.,4
HMH_Sportmanagement,HMH Sportmanagement,n.a.,n.a.,n.a.,n.a.,4
ISMG_International,ISMG International,n.a.,n.a.,n.a.,n.a.,4
Joerg_Neubauer,Joerg Neubauer,n.a.,n.a.,n.a.,n.a.,4
Karlheinz_Foerster,Karlheinz Foerster,n.a.,n.a.,n.a.,n.a.,4
Koegl_und_Partner_GmbH,Koegl and Partner GmbH,n.a.,n.a.,n.a.,n.a.,4
NGM_SPORTS,NGM SPORTS,n.a.,n.a.,n.a.,n.a.,4
PRO_Profil_GmbH,Pro Profil GmbH,n.a.,n.a.,n.a.,n.a.,4
Rogon,Rogon,n.a.,n.a.,n.a.,n.a.,4
SportsTotal_Berater,SportsTotal,n.a.,n.a.,n.a.,n.a.,4
